Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DameHeight,YearComissioned,Retrofit,lon,lat,projectID,YearDecommissioning
Bio 116,Bioenergy,OCGT,CHP,DE,0.469,,,,,20.09.1995,,9.958116886,54.09819629,{'JRC': ['00000']},
Bio 117,Bioenergy,OCGT,CHP,DE,0.025,,,,,28.09.1995,,11.59289399,47.86697633,{'JRC': ['00000']},
Bio 118,Bioenergy,OCGT,CHP,DE,0.045,,,,,01.10.1995,,10.35651722,47.66033991,{'JRC': ['00000']},
Bio 119,Bioenergy,OCGT,CHP,DE,0.082,,,,,09.10.1995,,11.10782071,47.70457677,{'JRC': ['00000']},
Bio 120,Bioenergy,OCGT,CHP,DE,0.25,,,,,03.11.1995,,13.55228267,51.40367608,{'JRC': ['00000']},
Bio 121,Bioenergy,OCGT,CHP,DE,0.16,,,,,10.11.1995,,12.68293023,48.11914116,{'JRC': ['00000']},
Bio 122,Bioenergy,OCGT,CHP,DE,0.367,,,,,28.11.1995,,9.662336128,49.62059788,{'JRC': ['00000']},
Bio 123,Bioenergy,OCGT,CHP,DE,0.3,,,,,06.12.1995,,9.049489912,49.23394435,{'JRC': ['00000']},
Bio 124,Bioenergy,OCGT,CHP,DE,0.74,,,,,07.12.1995,,10.65248767,51.10494207,{'JRC': ['00000']},
Bio 125,Bioenergy,OCGT,CHP,DE,0.19,,,,,11.12.1995,,9.650166277,47.94385574,{'JRC': ['00000']},
Bio 126,Bioenergy,OCGT,CHP,DE,0.048,,,,,13.12.1995,,9.14253776,53.49045302,{'JRC': ['00000']},
Bio 127,Bioenergy,OCGT,CHP,DE,0.25,,,,,27.12.1995,,8.065223428,50.87981616,{'JRC': ['00000']},
Bio 128,Bioenergy,OCGT,CHP,DE,0.42,,,,,01.01.1996,,8.19917596,48.86107933,{'JRC': ['00000']},
Bio 129,Bioenergy,OCGT,CHP,DE,0.135,,,,,01.01.1996,,7.822639765,47.98784257,{'JRC': ['00000']},
Bio 130,Bioenergy,OCGT,CHP,DE,0.33,,,,,01.01.1996,,13.09503822,54.30235093,{'JRC': ['00000']},
Bio 131,Bioenergy,OCGT,CHP,DE,0.21,,,,,01.01.1996,,9.906922109,47.57114061,{'JRC': ['00000']},
Bio 132,Bioenergy,OCGT,CHP,DE,0.5,,,,,01.01.1996,,10.23539674,51.64991283,{'JRC': ['00000']},
Bio 133,Bioenergy,OCGT,CHP,DE,0.125,,,,,01.01.1996,,8.427864154,47.92439949,{'JRC': ['00000']},
Bio 134,Bioenergy,OCGT,CHP,DE,0.8,,,,,09.01.1996,,8.175464659,51.25668793,{'JRC': ['00000']},
